"Country","Year","Existence of road safety audit for all new roads","Existence of road safety audit for existing roads"
"Afghanistan"," 2013","Yes","No"
"Albania"," 2013","Yes","Yes"
"Algeria"," 2013","Yes","Yes"
"Andorra"," 2013","Yes","Yes"
"Angola"," 2013","Yes","Yes"
"Antigua and Barbuda"," 2013","Yes","Yes"
"Argentina"," 2013","Yes","Yes"
"Armenia"," 2013","Yes","Yes"
"Australia"," 2013","Yes","Yes"
"Austria"," 2013","Yes","Yes"
"Azerbaijan"," 2013","No","Yes"
"Bahamas"," 2013","Yes","Yes"
"Bahrain"," 2013","Yes","Yes"
"Bangladesh"," 2013","Yes","Yes"
"Barbados"," 2013","Yes","No"
"Belarus"," 2013","Yes","Yes"
"Belgium"," 2013","Yes","Yes"
"Belize"," 2013","Yes","Yes"
"Benin"," 2013","Yes","Yes"
"Bhutan"," 2013","No","No"
"Bolivia (Plurinational State of)"," 2013","Yes","Yes"
"Bosnia and Herzegovina"," 2013","Yes","Yes"
"Botswana"," 2013","No","Yes"
"Brazil"," 2013","Yes","Yes"
"Bulgaria"," 2013","Yes","Yes"
"Burkina Faso"," 2013","No","Yes"
"Cabo Verde"," 2013","Yes","Yes"
"Cambodia"," 2013","Yes","Yes"
"Cameroon"," 2013","Yes","Yes"
"Canada"," 2013","Yes","Yes"
"Central African Republic"," 2013","Yes","No"
"Chad"," 2013","Yes","Yes"
"Chile"," 2013","Yes","Yes"
"China"," 2013","Yes","Yes"
"Colombia"," 2013","Yes","Yes"
"Congo"," 2013","Yes","Yes"
"Cook Islands"," 2013","Yes","No"
"Costa Rica"," 2013","Yes","Yes"
"Côte d'Ivoire"," 2013","Yes","Yes"
"Croatia"," 2013","Yes","Yes"
"Cuba"," 2013","No","Yes"
"Cyprus"," 2013","Yes","Yes"
"Czechia"," 2013","Yes","Yes"
"Democratic Republic of the Congo"," 2013","Yes","No"
"Denmark"," 2013","Yes","Yes"
"Djibouti"," 2013","No","No"
"Dominica"," 2013","No","No"
"Dominican Republic"," 2013","Yes","No"
"Ecuador"," 2013","Yes","Yes"
"Egypt"," 2013","Yes","Yes"
"El Salvador"," 2013","Yes","Yes"
"Eritrea"," 2013","Yes","Yes"
"Estonia"," 2013","Yes","Yes"
"Eswatini"," 2013","Yes","Yes"
"Ethiopia"," 2013","Yes","Yes"
"Fiji"," 2013","Yes","Yes"
"Finland"," 2013","Yes","Yes"
"France"," 2013","Yes","Yes"
"Gabon"," 2013","-","-"
"Gambia"," 2013","Yes","No"
"Georgia"," 2013","Yes","Yes"
"Germany"," 2013","Yes","Yes"
"Ghana"," 2013","Yes","Yes"
"Greece"," 2013","Yes","Yes"
"Guatemala"," 2013","No","No"
"Guinea"," 2013","Yes","No"
"Guinea-Bissau"," 2013","Yes","Yes"
"Guyana"," 2013","Yes","No"
"Honduras"," 2013","Yes","No"
"Hungary"," 2013","Yes","Yes"
"Iceland"," 2013","Yes","Yes"
"India"," 2013","Yes","No"
"Indonesia"," 2013","Yes","Yes"
"Iran (Islamic Republic of)"," 2013","No","Yes"
"Iraq"," 2013","Yes","No"
"Ireland"," 2013","Yes","Yes"
"Israel"," 2013","Yes","Yes"
"Italy"," 2013","Yes","Yes"
"Jamaica"," 2013","Yes","Yes"
"Japan"," 2013","No","Yes"
"Jordan"," 2013","Yes","Yes"
"Kazakhstan"," 2013","Yes","Yes"
"Kenya"," 2013","Yes","Yes"
"Kiribati"," 2013","Yes","Yes"
"Kuwait"," 2013","Yes","Yes"
"Kyrgyzstan"," 2013","Yes","Yes"
