"","","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards"
"Country","Year"," Seat-belts"," Seat-belt anchorages"," Frontal impact"," Side impact"," Electronic stability control"," Pedestrian protection"," Child seats"
"Afghanistan"," 2013","No","No","No","No","No","No","No"
"Albania"," 2013","No","No","No","No","No","No","No"
"Algeria"," 2013","No","No","No","No","No","No","No"
"Andorra"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Angola"," 2013","No","No","No","No","No","No","No"
"Antigua and Barbuda"," 2013","No","No","No","No","No","No","No"
"Argentina"," 2013","Yes","Yes","Yes","No","No","No","No"
"Armenia"," 2013","No","No","No","No","No","No","No"
"Australia"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Austria"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Azerbaijan"," 2013","No","No","No","No","No","No","No"
"Bahamas"," 2013","No","No","No","No","No","No","No"
"Bahrain"," 2013","No","No","No","No","No","No","No"
"Bangladesh"," 2013","No","No","No","No","No","No","No"
"Barbados"," 2013","No","No","No","No","No","No","No"
"Belarus"," 2013","No","No","No","No","No","No","No"
"Belgium"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Belize"," 2013","No","No","No","No","No","No","No"
"Benin"," 2013","No","No","No","No","No","No","No"
"Bhutan"," 2013","No","No","No","No","No","No","No"
"Bolivia (Plurinational State of)"," 2013","No","No","No","No","No","No","No"
"Bosnia and Herzegovina"," 2013","No","No","No","No","No","No","No"
"Botswana"," 2013","No","No","No","No","No","No","No"
"Brazil"," 2013","Yes","Yes","Yes","Yes","No","No","Yes"
"Bulgaria"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Burkina Faso"," 2013","No","No","No","No","No","No","No"
"Cabo Verde"," 2013","No","No","No","No","No","No","No"
"Cambodia"," 2013","No","No","No","No","No","No","No"
"Cameroon"," 2013","No","No","No","No","No","No","No"
"Canada"," 2013","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Central African Republic"," 2013","No","No","No","No","No","No","No"
"Chad"," 2013","No","No","No","No","No","No","No"
"Chile"," 2013","No","No","No","No","No","No","No"
"China"," 2013","Yes","Yes","Yes","Yes","No","No","No"
"Colombia"," 2013","No","No","No","No","No","No","No"
"Congo"," 2013","No","No","No","No","No","No","No"
"Cook Islands"," 2013","No","No","No","No","No","No","No"
"Costa Rica"," 2013","No","No","No","No","No","No","No"
"Côte d'Ivoire"," 2013","No","No","No","No","No","No","No"
"Croatia"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cuba"," 2013","No","No","No","No","No","No","No"
"Cyprus"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Czechia"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Democratic Republic of the Congo"," 2013","No","No","No","No","No","No","No"
"Denmark"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Djibouti"," 2013","No","No","No","No","No","No","No"
"Dominica"," 2013","No","No","No","No","No","No","No"
"Dominican Republic"," 2013","No","No","No","No","No","No","No"
"Ecuador"," 2013","Yes","Yes","Yes","Yes","Yes","No","No"
"Egypt"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"El Salvador"," 2013","No","No","No","No","No","No","No"
"Eritrea"," 2013","No","No","No","No","No","No","No"
"Estonia"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Eswatini"," 2013","No","No","No","No","No","No","No"
"Ethiopia"," 2013","No","No","No","No","No","No","No"
"Fiji"," 2013","No","No","No","No","No","No","No"
"Finland"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"France"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gabon"," 2013","No","No","No","No","No","No","No"
"Gambia"," 2013","No","No","No","No","No","No","No"
"Georgia"," 2013","No","No","No","No","No","No","No"
"Germany"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ghana"," 2013","No","No","No","No","No","No","No"
"Greece"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Guatemala"," 2013","No","No","No","No","No","No","No"
"Guinea"," 2013","No","No","No","No","No","No","No"
"Guinea-Bissau"," 2013","No","No","No","No","No","No","No"
"Guyana"," 2013","No","No","No","No","No","No","No"
"Honduras"," 2013","No","No","No","No","No","No","No"
"Hungary"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Iceland"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"India"," 2013","Yes","Yes","No","No","No","No","No"
"Indonesia"," 2013","No","No","No","No","No","No","No"
"Iran (Islamic Republic of)"," 2013","No","No","No","No","No","No","No"
"Iraq"," 2013","No","No","No","No","No","No","No"
"Ireland"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Israel"," 2013","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Italy"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Jamaica"," 2013","No","No","No","No","No","No","No"
"Japan"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
